DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
MORAGA CAP 1_3166,EMS,ABC,en_3497608_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MORAGA CAP 6_3167,EMS,ABC,en_3497611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MORAGA CAP 5_3168,EMS,ABC,en_3497610_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAUGUS CAP 4_3281,EMS,ABC,en_3559611_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAUGUS CAP 4A_3282,EMS,ABC,en_3559610_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAUGUS CAP 2_3283,EMS,ABC,en_3559621_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAUGUS CAP 2A_3284,EMS,ABC,en_3559620_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAN BERNARDINO CAP 5_3286,EMS,ABC,en_3562652_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAN MIGUEL CAP 1AB_3304,EMS,ABC,en_3574612_SH,1,N,NULL,NULL,NULL,2900,16.0KV_2900,Fall-InSvcSchedule,,NULL,All
SAN MIGUEL CAP 2_3305,EMS,ABC,en_3574622_SH,1,N,NULL,NULL,NULL,3600,16.0KV_3600,Fall-InSvcSchedule,,NULL,All
BELVEDERE CAP 1_3644,EMS,ABC,en_3326612_SH,1,N,NULL,NULL,NULL,1440,4.0KV_1440,Fall-InSvcSchedule,,NULL,All
MICHILLINDA CAP 1_3648,EMS,ABC,en_3333611_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
MICHILLINDA CAP 2_3649,EMS,ABC,en_3333622_SH,1,N,NULL,NULL,NULL,1800,4.0KV_1800,Fall-InSvcSchedule,,NULL,All
