DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
EDINGER NO.1 BANK_2154,EMS,ABC,en_3086051,en_3087053_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,EDINGER,NULL,All,NULL
EDINGER NO.2 BANK_2155,EMS,ABC,en_3086055,en_3087058_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,EDINGER,NULL,All,NULL
LAS LOMAS NO.2 BANK_2651,EMS,ABC,en_1270113,en_4301127_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,LAS_LOMAS,NULL,All,NULL
DEVERS NO.6S BANK_2713,EMS,ABC,en_503209,en_4129701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,DEVERS,NULL,All,NULL
DEVERS NO.7S BANK_2714,EMS,ABC,en_503208,en_4129704,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,DEVERS,NULL,All,NULL
GALE NO.1 BANK_2896,EMS,ABC,en_444010,en_4255002_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,GALE,NULL,All,NULL
VICTOR NO.8S BANK_2899,EMS,ABC,en_403711,en_3522702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,VICTOR,NULL,All,NULL
LAS LOMAS NO.1N BANK_2901,EMS,ABC,en_1270112,en_4301126,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,LAS_LOMAS,NULL,All,NULL
CAMP 10 NO.10 BANK_2910,EMS,ABC,en_4305001,en_4307999,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CAMP_10,NULL,All,NULL
HI DESERT NO.3E BANK_2912,EMS,ABC,en_2043152,en_2044202,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HI_DESERT,NULL,All,NULL
HIGHLAND NO.2E BANK_3011,EMS,ABC,en_495111,en_3212702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HIGHLAND,NULL,All,NULL
HIGHLAND NO.2W BANK_3012,EMS,ABC,en_495090,en_3212701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HIGHLAND,NULL,All,NULL
