DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
12KV 111A1_32300,EMS,ABC,en_390997,en_390011,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 311A3_32301,EMS,ABC,en_390011,en_390048,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
CAMEO 12KV CB_32302,EMS,ABC,en_390011,en_390111,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 111A3_32303,EMS,ABC,en_390111,en_390061,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 311A1_32304,EMS,ABC,en_390061,en_390800,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 2 CAP DISC_32305,EMS,ABC,en_390999,en_390112,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPACITOR CB_32306,EMS,ABC,en_390112,en_390113,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 1 CAP DISC_32307,EMS,ABC,en_390050,en_390114,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPACITOR CB_32308,EMS,ABC,en_390114,en_390115,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 BK 12 ISO DSC_32309,EMS,ABC,en_390116,en_390053,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 BK 12 ISO DSC_32310,EMS,ABC,en_390117,en_390055,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1101 33KV_32460,EMS,ABC,en_1529999,en_1529010,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3101  33KV_32461,EMS,ABC,en_1529010,en_1529050,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAP FUSE_32462,EMS,ABC,en_1529116,en_1529120,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAP FUSE_32463,EMS,ABC,en_1529114,en_1529119,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
341_32464,EMS,ABC,en_1531999,en_1531004,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
361_32465,EMS,ABC,en_1531999,en_1531006,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
381_32466,EMS,ABC,en_1531999,en_1531008,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
143_32467,EMS,ABC,en_1531004,en_1531108,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
142_32468,EMS,ABC,en_1531108,en_1531109,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
141_32469,EMS,ABC,en_1531109,en_1531050,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
163_32470,EMS,ABC,en_1531006,en_1531110,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
162_32471,EMS,ABC,en_1531110,en_1531111,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
161_32472,EMS,ABC,en_1531111,en_1531050,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
183_32473,EMS,ABC,en_1531008,en_1531112,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
182_32474,EMS,ABC,en_1531112,en_1531113,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
181_32475,EMS,ABC,en_1531113,en_1531050,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 REG DISC_32476,EMS,ABC,en_1531114,en_1531001,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 BK REG DISC_32477,EMS,ABC,en_1531115,en_1531114,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 REG BYP_32478,EMS,ABC,en_1531115,en_1531001,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV NBUS A-B SEC DSC_32479,EMS,ABC,en_1529999,en_1529998,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV NBUS B-C SEC DSC_32480,EMS,ABC,en_1529998,en_1529997,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV NBUS C-D SEC DSC_32481,EMS,ABC,en_1530997,en_1530996,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV NBUS D-E SEC DSC_32482,EMS,ABC,en_1530996,en_1530995,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV SBUS B-C SEC DSC_32483,EMS,ABC,en_1530051,en_1530052,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV SBUS C-D SEC DSC_32484,EMS,ABC,en_1530052,en_1530053,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV SBUS D-E SEC DSC_32485,EMS,ABC,en_1530053,en_1530060,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
2N BK LS DISC_32852,EMS,ABC,en_2038403,en_2038405,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
2S BK LS DISC_32853,EMS,ABC,en_2038404,en_2038405,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
